Continent,Year,Arable land
Africa,1961,27.01017931
Africa,1962,26.56724858
Africa,1963,26.23294331
Africa,1964,25.8134592
Africa,1965,25.41889596
Africa,1966,24.88606909
Africa,1967,24.44108637
Africa,1968,24.13940821
Africa,1969,23.75026534
Africa,1970,22.99543787
Africa,1971,22.60159151
Africa,1972,22.09322874
Africa,1973,21.64196124
Africa,1974,20.96904266
Africa,1975,20.63128866
Africa,1976,20.26844041
Africa,1977,19.6136781
Africa,1978,19.27027297
Africa,1979,18.74563093
Africa,1980,18.26546948
Africa,1981,17.63917502
Africa,1982,17.26668998
Africa,1983,16.82105048
Africa,1984,16.49446346
Africa,1985,16.1905698
Africa,1986,15.81771043
Africa,1987,15.41489475
Africa,1988,15.14121979
Africa,1989,14.82953852
Africa,1990,14.62931994
Africa,1991,14.3385634
Africa,1992,14.09142709
Africa,1993,14.23620392
Africa,1994,13.97739516
Africa,1995,13.86103562
Africa,1996,13.75289578
Africa,1997,13.50330552
Africa,1998,13.13894465
Africa,1999,13.01860858
Africa,2000,12.80582781
Africa,2001,12.51887064
Africa,2002,12.35487337
Africa,2003,12.34876185
Africa,2004,12.04758326
Africa,2005,11.8886675
Africa,2006,11.57700577
Africa,2007,11.33045612
Africa,2008,11.46139749
Africa,2009,11.33634314
Africa,2010,11.13935071
Africa,2011,11.54451437
Africa,2012,11.44470374
Africa,2013,11.28267726
Africa,2014,11.04329702
Africa,2015,10.68281532
Africa,2016,10.52609516
Africa,2017,10.31049787
Africa,2018,10.07136757
Asia,1961,11.34937359
Asia,1962,11.21007976
Asia,1963,11.03172158
Asia,1964,10.93014488
Asia,1965,10.68855584
Asia,1966,10.39365573
Asia,1967,10.08371248
Asia,1968,9.752019207
Asia,1969,9.478946268
Asia,1970,9.29840189
Asia,1971,8.96348154
Asia,1972,8.842197034
Asia,1973,8.669599966
Asia,1974,8.362297128
Asia,1975,7.956783337
Asia,1976,7.890603051
Asia,1977,7.815580556
Asia,1978,7.698842469
Asia,1979,7.624920676
Asia,1980,7.44914544
Asia,1981,7.332614635
Asia,1982,7.240550049
Asia,1983,7.122177238
Asia,1984,7.006486067
Asia,1985,6.932571602
Asia,1986,6.800774125
Asia,1987,6.76643622
Asia,1988,6.656450936
Asia,1989,6.499176382
Asia,1990,6.389703556
Asia,1991,6.259672681
Asia,1992,9.779388383
Asia,1993,9.67350553
Asia,1994,9.489363717
Asia,1995,9.399377876
Asia,1996,9.201848715
Asia,1997,9.033203106
Asia,1998,8.990622551
Asia,1999,8.832552505
Asia,2000,8.509223944
Asia,2001,8.459978721
Asia,2002,8.314386919
Asia,2003,8.214222194
Asia,2004,8.141694937
Asia,2005,8.073559427
Asia,2006,7.899292845
Asia,2007,7.749133
Asia,2008,7.492502449
Asia,2009,7.383594016
Asia,2010,7.275675801
Asia,2011,7.216317825
Asia,2012,7.15884106
Asia,2013,7.07698741
Asia,2014,7.023372243
Asia,2015,6.984115336
Asia,2016,6.881959692
Asia,2017,6.792342097
Asia,2018,6.705697477
Europe,1961,14.77386315
Europe,1962,14.55317418
Europe,1963,14.37211803
Europe,1964,14.14185045
Europe,1965,13.94531464
Europe,1966,13.66819594
Europe,1967,13.48816338
Europe,1968,13.34224586
Europe,1969,13.22363963
Europe,1970,12.99040743
Europe,1971,12.76429553
Europe,1972,12.55967526
Europe,1973,12.39059472
Europe,1974,12.21372298
Europe,1975,12.02714254
Europe,1976,11.90110508
Europe,1977,11.74897694
Europe,1978,11.6607966
Europe,1979,11.54505091
Europe,1980,11.39699266
Europe,1981,11.26637978
Europe,1982,11.17540195
Europe,1983,11.04058716
Europe,1984,11.00455529
Europe,1985,10.93632287
Europe,1986,10.85017421
Europe,1987,10.72898469
Europe,1988,10.63165762
Europe,1989,10.51570338
Europe,1990,10.42453628
Europe,1991,10.3381435
Europe,1992,16.56181429
Europe,1993,17.01584874
Europe,1994,16.8049377
Europe,1995,16.4583014
Europe,1996,16.44362533
Europe,1997,16.37945396
Europe,1998,16.23951111
Europe,1999,16.10314345
Europe,2000,16.04721623
Europe,2001,15.47368612
Europe,2002,15.30996624
Europe,2003,15.13181121
Europe,2004,15.10124204
Europe,2005,15.17101553
Europe,2006,15.86353513
Europe,2007,15.56090359
Europe,2008,15.56094045
Europe,2009,15.53695823
Europe,2010,15.5481479
Europe,2011,15.58698371
Europe,2012,15.5496455
Europe,2013,15.22486546
Europe,2014,15.17327792
Europe,2015,15.14722242
Europe,2016,15.1675412
Europe,2017,15.13121276
Europe,2018,15.08179449
North America,1961,8.206121326
North America,1962,8.029065082
North America,1963,7.969637705
North America,1964,7.810082153
North America,1965,7.657751128
North America,1966,7.59920801
North America,1967,7.418569232
North America,1968,7.330228685
North America,1969,7.220248546
North America,1970,7.098254625
North America,1971,6.931927557
North America,1972,6.762928134
North America,1973,6.676707532
North America,1974,6.560896514
North America,1975,6.490285172
North America,1976,6.423630795
North America,1977,6.379269933
North America,1978,6.309707287
North America,1979,6.219877647
North America,1980,6.135561742
North America,1981,6.06035762
North America,1982,6.015007673
North America,1983,5.920709141
North America,1984,5.849492437
North America,1985,5.78213291
North America,1986,5.716621379
North America,1987,5.640330521
North America,1988,5.565631961
North America,1989,5.49883449
North America,1990,5.353575534
North America,1991,5.286020637
North America,1992,5.231763811
North America,1993,5.213661043
North America,1994,5.086468299
North America,1995,5.046954823
North America,1996,4.919217471
North America,1997,4.868912919
North America,1998,4.816530187
North America,1999,4.734331169
North America,2000,4.643203105
North America,2001,4.622690703
North America,2002,4.579181218
North America,2003,4.546348632
North America,2004,4.409790618
North America,2005,4.264757849
North America,2006,4.147376292
North America,2007,4.085818438
North America,2008,3.968447067
North America,2009,3.930893417
North America,2010,3.863804564
North America,2011,3.792346721
North America,2012,3.733257428
North America,2013,3.696989556
North America,2014,3.652317612
North America,2015,3.660589391
North America,2016,3.628901023
North America,2017,3.593269211
North America,2018,3.559316231
Oceania,1961,3.610992072
Oceania,1962,3.65591374
Oceania,1963,3.551263195
Oceania,1964,3.548777621
Oceania,1965,3.607357674
Oceania,1966,3.650978905
Oceania,1967,3.625418557
Oceania,1968,3.723828734
Oceania,1969,3.53687442
Oceania,1970,3.406027268
Oceania,1971,3.196670047
Oceania,1972,3.15466807
Oceania,1973,2.928656727
Oceania,1974,2.848282395
Oceania,1975,2.719383533
Oceania,1976,2.737450667
Oceania,1977,2.750509597
Oceania,1978,2.85445818
Oceania,1979,2.874616975
Oceania,1980,2.868730573
Oceania,1981,2.860697143
Oceania,1982,2.906038404
Oceania,1983,2.88429162
Oceania,1984,3.032327067
Oceania,1985,2.948717319
Oceania,1986,2.913572689
Oceania,1987,2.825265745
Oceania,1988,2.691737883
Oceania,1989,2.648717635
Oceania,1990,2.632621031
Oceania,1991,2.604305226
Oceania,1992,2.43968288
Oceania,1993,2.414498963
Oceania,1994,2.362868509
Oceania,1995,2.24997932
Oceania,1996,2.351917257
Oceania,1997,2.405276981
Oceania,1998,2.400893814
Oceania,1999,2.46380139
Oceania,2000,2.435676486
Oceania,2001,2.449046434
Oceania,2002,2.131250673
Oceania,2003,2.083677894
Oceania,2004,2.199775907
Oceania,2005,2.203855396
Oceania,2006,2.073020284
Oceania,2007,1.997373459
Oceania,2008,2.016584875
Oceania,2009,2.133203184
Oceania,2010,2.0574427
Oceania,2011,2.328634482
Oceania,2012,2.335537663
Oceania,2013,2.317764699
Oceania,2014,2.362382225
Oceania,2015,2.306665202
Oceania,2016,2.248125942
Oceania,2017,2.235155221
Oceania,2018,2.214879665
South America,1961,5.091131329
South America,1962,5.014502474
South America,1963,4.949712539
South America,1964,4.903652973
South America,1965,4.838409851
South America,1966,4.796944522
South America,1967,4.723893211
South America,1968,4.688807859
South America,1969,4.681750626
South America,1970,4.590240424
South America,1971,4.528699504
South America,1972,4.483264946
South America,1973,4.438365647
South America,1974,4.419803366
South America,1975,4.39375873
South America,1976,4.427345678
South America,1977,4.445100835
South America,1978,4.450355642
South America,1979,4.45454534
South America,1980,4.436285548
South America,1981,4.409111874
South America,1982,4.386771291
South America,1983,4.337142751
South America,1984,4.2968321
South America,1985,4.25837365
South America,1986,4.207901864
South America,1987,4.128149494
South America,1988,4.047961161
South America,1989,3.969376004
South America,1990,3.8939901
South America,1991,3.836612277
South America,1992,3.790019475
South America,1993,3.719387387
South America,1994,3.716941565
South America,1995,3.713197113
South America,1996,3.686501026
South America,1997,3.682645873
South America,1998,3.718333619
South America,1999,3.71126622
South America,2000,3.674254887
South America,2001,3.635249738
South America,2002,3.572544423
South America,2003,3.611018483
South America,2004,3.648838389
South America,2005,3.66421898
South America,2006,3.697389044
South America,2007,3.762178175
South America,2008,3.841232305
South America,2009,3.948141087
South America,2010,3.951868464
South America,2011,4.058513253
South America,2012,4.022661686
South America,2013,4.078287252
South America,2014,4.015446514
South America,2015,3.999190906
South America,2016,3.881829227
South America,2017,3.90217897
South America,2018,3.88218352
