Country,Country Code,Year,GDP
United States,USA,1961,2.3
United States,USA,1962,6.1
United States,USA,1963,4.4
United States,USA,1964,5.8
United States,USA,1965,6.4
United States,USA,1966,6.5
United States,USA,1967,2.5
United States,USA,1968,4.8
United States,USA,1969,3.1
United States,USA,1970,-0.283491263
United States,USA,1971,3.293351639
United States,USA,1972,5.258907357
United States,USA,1973,5.645722556
United States,USA,1974,-0.540551652
United States,USA,1975,-0.205456065
United States,USA,1976,5.388139287
United States,USA,1977,4.624153065
United States,USA,1978,5.535304958
United States,USA,1979,3.166145308
United States,USA,1980,-0.256749674
United States,USA,1981,2.537719307
United States,USA,1982,-1.802887409
United States,USA,1983,4.583913355
United States,USA,1984,7.23663315
United States,USA,1985,4.169656223
United States,USA,1986,3.462645971
United States,USA,1987,3.45925199
United States,USA,1988,4.177061291
United States,USA,1989,3.67264815
United States,USA,1990,1.885964957
United States,USA,1991,-0.108264791
United States,USA,1992,3.522440527
United States,USA,1993,2.751781051
United States,USA,1994,4.02879326
United States,USA,1995,2.684217272
United States,USA,1996,3.772565499
United States,USA,1997,4.447174945
United States,USA,1998,4.481394432
United States,USA,1999,4.794499045
United States,USA,2000,4.077159479
United States,USA,2001,0.954338729
United States,USA,2002,1.695942923
United States,USA,2003,2.796209101
United States,USA,2004,3.852552601
United States,USA,2005,3.48322032
United States,USA,2006,2.782810626
United States,USA,2007,2.010507552
United States,USA,2008,0.122188443
United States,USA,2009,-2.599888351
United States,USA,2010,2.708856694
United States,USA,2011,1.54989495
United States,USA,2012,2.280687603
United States,USA,2013,1.841875395
United States,USA,2014,2.287775933
United States,USA,2015,2.706369582
United States,USA,2016,1.667472076
United States,USA,2017,2.241921216
United States,USA,2018,2.945384831
United States,USA,2019,2.294439078
United States,USA,2020,-2.767802511
United States,USA,2021,5.945484761
